Parent_Company GEM,BOCC_company_name,total_potential_emissions,Proposition BOCC,Niveau de confiance (1 - 3 sur),Respo,checked (1),Justification ,Comment
Bulgarian Energy Holding EAD,Bulgarian Energy Holding EAD,"1,035",,3,Personne 1,1,,
National Thermal Power Corporation,Republic of India,"2,724",Republic of India,3,Personne 1,1,https://www.gem.wiki/National_Thermal_Power_Corporation,state owned
Panorama Resources Pty Ltd,,"2,667",,,Personne 1,1,https://www.opensanctions.org/entities/gem-own-e100002007875/,
CLP Group,CLP Holdings,"0,556",,,Personne 2,1,https://www.gem.wiki/Yallourn_W_power_station,ça a l'air d'être la même boite
TerraCom,Macquarie Group,"2,508",Macquarie Group,2,Personne 1,1,https://www.opensanctions.org/entities/gem-own-e100000132284/,"détenue en petite partie (7,66%)"
RWE AG,RWE,"2,404",RWE,3,Personne 1,1,,
Raspadskaya PJSC,Evraz,"2,404",Evraz,3,Personne 1,1,https://www.gem.wiki/Raspadskaya_Koksovaya_Coal_Mine,
National Energy Investment Group,China Energy Investment,"2,37",China Energy Investment,3,Personne 1,1,https://www.gem.wiki/National_Energy_Investment_Group,c'est la même entreprise
Ningbo Aofei Enterprise Management Partnership [Limited Partnership],,"2,331",,,Personne 1,1,https://www.gem.wiki/%E6%A6%86%E6%9E%97%E7%BA%A2%E5%A2%A9%E7%95%8C%E7%85%A4%E7%9F%BF,
China COSCO Shipping,China COSCO Shipping,"0,48776",,,Personne 1,1,,
