T14,Gross domestic product and gross domestic product per capita,,,,,
17,Middle Africa,2010,GDP in constant 2010 prices (millions of US dollars),"189,701",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
17,Middle Africa,2015,GDP in constant 2010 prices (millions of US dollars),"238,018",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
17,Middle Africa,2018,GDP in constant 2010 prices (millions of US dollars),"236,346",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
17,Middle Africa,2019,GDP in constant 2010 prices (millions of US dollars),"239,144",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
17,Middle Africa,2020,GDP in constant 2010 prices (millions of US dollars),"233,475",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
17,Middle Africa,1995,GDP real rates of growth (percent),6.8,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
17,Middle Africa,2005,GDP real rates of growth (percent),9.2,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
17,Middle Africa,2010,GDP real rates of growth (percent),4.7,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
17,Middle Africa,2015,GDP real rates of growth (percent),1.8,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
17,Middle Africa,2018,GDP real rates of growth (percent),0.2,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
17,Middle Africa,2019,GDP real rates of growth (percent),1.2,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
17,Middle Africa,2020,GDP real rates of growth (percent),-2.4,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
18,Southern Africa,1995,GDP in current prices (millions of US dollars),"168,902",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
18,Southern Africa,2005,GDP in current prices (millions of US dollars),"279,461",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
18,Southern Africa,2010,GDP in current prices (millions of US dollars),"406,090",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
18,Southern Africa,2015,GDP in current prices (millions of US dollars),"349,590",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
18,Southern Africa,2018,GDP in current prices (millions of US dollars),"407,616",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
18,Southern Africa,2019,GDP in current prices (millions of US dollars),"389,284",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
18,Southern Africa,2020,GDP in current prices (millions of US dollars),"334,742",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
18,Southern Africa,1995,GDP per capita (US dollars),"3,566",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
18,Southern Africa,2005,GDP per capita (US dollars),"5,114",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
18,Southern Africa,2010,GDP per capita (US dollars),"6,956",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
18,Southern Africa,2015,GDP per capita (US dollars),"5,550",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
18,Southern Africa,2018,GDP per capita (US dollars),"6,200",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
18,Southern Africa,2019,GDP per capita (US dollars),"5,842",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
18,Southern Africa,2020,GDP per capita (US dollars),"4,959",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
18,Southern Africa,1995,GDP in constant 2010 prices (millions of US dollars),"190,432",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
18,Southern Africa,2005,GDP in constant 2010 prices (millions of US dollars),"265,154",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
18,Southern Africa,2010,GDP in constant 2010 prices (millions of US dollars),"310,369",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
18,Southern Africa,2015,GDP in constant 2010 prices (millions of US dollars),"349,590",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
18,Southern Africa,2018,GDP in constant 2010 prices (millions of US dollars),"359,876",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
18,Southern Africa,2019,GDP in constant 2010 prices (millions of US dollars),"360,951",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
18,Southern Africa,2020,GDP in constant 2010 prices (millions of US dollars),"335,556",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
18,Southern Africa,1995,GDP real rates of growth (percent),3.3,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
18,Southern Africa,2005,GDP real rates of growth (percent),5.2,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
18,Southern Africa,2010,GDP real rates of growth (percent),3.3,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
18,Southern Africa,2015,GDP real rates of growth (percent),1.2,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
18,Southern Africa,2018,GDP real rates of growth (percent),1.0,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
18,Southern Africa,2019,GDP real rates of growth (percent),0.3,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
18,Southern Africa,2020,GDP real rates of growth (percent),-7.0,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
11,Western Africa,1995,GDP in current prices (millions of US dollars),"105,290",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
11,Western Africa,2005,GDP in current prices (millions of US dollars),"263,386",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
11,Western Africa,2010,GDP in current prices (millions of US dollars),"508,151",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
11,Western Africa,2015,GDP in current prices (millions of US dollars),"685,378",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
11,Western Africa,2018,GDP in current prices (millions of US dollars),"668,461",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
